"Date","Price","Open","High","Low","Vol.","Change %"
"06/12/2024","142.44","144.60","145.70","141.31","188.51M","-1.81%"
"05/12/2024","145.06","145.11","146.54","143.95","172.62M","-0.06%"
"04/12/2024","145.14","141.99","145.79","140.29","231.22M","3.48%"
"03/12/2024","140.26","138.26","140.54","137.95","164.41M","1.18%"
"02/12/2024","138.63","138.83","140.45","137.82","171.68M","0.27%"
"29/11/2024","138.25","136.78","139.35","136.05","141.86M","2.15%"
"27/11/2024","135.34","135.01","137.22","131.80","226.37M","-1.15%"
"26/11/2024","136.92","137.70","139.30","135.67","190.29M","0.66%"
"25/11/2024","136.02","141.99","142.05","135.82","344.94M","-4.18%"
"22/11/2024","141.95","145.93","147.16","141.10","236.41M","-3.22%"
"21/11/2024","146.67","149.35","152.89","140.70","400.95M","0.53%"
"20/11/2024","145.89","147.41","147.56","142.73","309.87M","-0.76%"
"19/11/2024","147.01","141.32","147.13","140.99","227.84M","4.89%"
"18/11/2024","140.15","139.50","141.55","137.15","221.87M","-1.29%"
"15/11/2024","141.98","144.87","145.24","140.08","250.13M","-3.26%"
"14/11/2024","146.76","147.64","149.00","145.55","194.46M","0.33%"
"13/11/2024","146.27","149.07","149.33","145.90","191.90M","-1.36%"
"12/11/2024","148.29","146.78","149.65","146.01","198.64M","2.09%"
"11/11/2024","145.26","148.68","148.85","143.57","182.33M","-1.61%"
"08/11/2024","147.63","148.77","149.77","146.26","175.67M","-0.84%"
"07/11/2024","148.88","146.39","148.93","146.17","207.32M","2.25%"
"06/11/2024","145.61","142.96","146.49","141.96","242.04M","4.07%"
"05/11/2024","139.91","137.45","140.37","137.33","160.54M","2.84%"
"04/11/2024","136.05","137.21","138.96","135.57","187.53M","0.48%"
"01/11/2024","135.40","134.70","137.31","134.57","207.13M","1.99%"
"31/10/2024","132.76","137.60","137.61","132.11","270.04M","-4.72%"
"30/10/2024","139.34","139.54","140.33","136.81","179.42M","-1.36%"
"29/10/2024","141.25","140.29","142.26","138.90","157.59M","0.52%"
"28/10/2024","140.52","143.00","143.14","140.05","173.59M","-0.72%"
"25/10/2024","141.54","140.93","144.13","140.80","205.12M","0.80%"
"24/10/2024","140.41","140.82","141.35","138.46","172.36M","0.61%"
"23/10/2024","139.56","142.03","142.43","137.46","285.93M","-2.81%"
"22/10/2024","143.59","142.91","144.42","141.78","226.31M","-0.08%"
"21/10/2024","143.71","138.13","143.71","138.00","264.56M","4.14%"
"18/10/2024","138.00","138.66","138.90","137.28","176.09M","0.78%"
"17/10/2024","136.93","139.34","140.89","136.87","306.44M","0.89%"
"16/10/2024","135.72","133.98","136.62","131.58","264.88M","3.13%"
"15/10/2024","131.60","137.87","138.57","128.74","377.83M","-4.69%"
"14/10/2024","138.07","136.47","139.60","136.30","232.35M","2.43%"
"11/10/2024","134.80","134.01","135.78","133.66","170.21M","-0.01%"
"10/10/2024","134.81","131.91","135.00","131.00","242.31M","1.63%"
"09/10/2024","132.65","134.11","134.52","131.38","246.19M","-0.18%"
"08/10/2024","132.89","130.26","133.48","129.42","285.72M","4.05%"
"07/10/2024","127.72","124.99","130.64","124.95","346.25M","2.24%"
"04/10/2024","124.92","124.94","125.04","121.83","244.47M","1.68%"
"03/10/2024","122.85","120.92","124.36","120.34","277.12M","3.37%"
"02/10/2024","118.85","116.44","119.38","115.14","221.85M","1.58%"
"01/10/2024","117.00","121.76","122.44","115.79","302.09M","-3.66%"
